title,appeared,type,rank,factCount,lastActivity,exampleCount,bookCount,paperCount,numberOfUsers,numberOfJobs,githubBigQuery.repos,wikipedia.dailyPageViews
Java,1995,pl,0,920,2022,20,401,37,5550123,85206,369548,5242
JavaScript,1995,pl,1,818,2022,54,351,48,5962666,63993,1099879,4264
C,1972,pl,2,426,2022,26,78,19,3793768,59919,292876,6268
Python,1991,pl,3,691,2022,35,342,52,2818037,46976,550171,7204
SQL,1974,queryLanguage,4,324,2022,6,182,37,7179119,219617,641,3084
C++,1985,pl,5,461,2022,34,128,6,4128238,61098,277733,4307
HTML,1991,textMarkup,6,274,2022,6,116,7,5570873,69531,777550,4897
Linux,1991,os,7,27,2018,0,2,0,3229009,32007,0,5655
XML,1996,dataNotation,8,274,2022,4,151,37,1917452,42277,2700,2861
PHP,1995,pl,9,603,2022,15,274,26,2356101,30349,339509,3151
Perl,1987,pl,10,480,2022,18,276,9,491984,13482,101542,1299
MATLAB,1984,pl,11,359,2022,11,177,35,2661579,32228,2791,2338
Ruby,1995,pl,12,359,2022,23,65,13,357730,11438,374367,1731
C#,2000,pl,13,319,2022,25,3,0,217261,19747,133078,2794
Android,2008,os,14,53,2022,1,2,0,975958,9263,0,9920
MySQL,1995,queryLanguage,15,267,2022,9,168,16,2608362,47466,0,2139
Fortran,1957,pl,16,586,2022,13,321,37,165151,1931,2820,2052
CSS,1996,stylesheetLanguage,17,261,2018,8,102,2,2881846,45617,808537,1937
R,1993,pl,18,229,2022,11,40,9,1075613,14173,29347,3651
JSON,2001,dataNotation,19,127,2022,9,17,10,355741,9228,6,3994
iOS,2007,os,20,35,2018,0,9,0,535588,5010,0,6910
Go,2009,pl,21,329,2022,20,5,26,525179,6403,91470,2602
Scala,2004,pl,22,390,2022,12,130,26,139471,4525,34541,1496
Swift,2014,pl,23,354,2022,17,125,19,362590,3754,42531,1501
Ada,1980,pl,24,410,2022,13,64,50,12116,2184,2172,768
COBOL,1959,pl,25,471,2022,6,301,20,187188,2616,667,1302
Rust,2010,pl,26,351,2023,14,65,36,302193,141,15753,1159
PostgreSQL,1986,queryLanguage,27,130,2022,5,40,3,340751,13084,0,1262
Kotlin,2011,pl,28,367,2023,12,99,16,130094,5276,7829,1638
Arduino Programming Language,2005,pl,29,362,2022,3,265,28,527398,598,20461,2640
PowerShell,2006,pl,30,270,2022,7,107,3,208708,19576,33120,1173
Pascal,1970,pl,31,364,2022,10,145,21,7708,102,10149,1116
Haskell,1990,pl,32,315,2022,23,70,34,37628,495,29991,1177
TypeScript,2012,pl,33,317,2023,69,56,8,216959,1542,47650,1098
SAS,1976,pl,34,224,2022,5,96,10,361103,4682,1350,151
ARM,1985,assembly,35,152,2022,4,52,32,123423,7695,0,2538
Lisp,1958,pl,36,173,2022,2,75,25,61481,303,0,1517
Lua,1993,pl,37,219,2022,8,35,13,58860,1106,34346,1069
Julia,2012,pl,38,338,2023,22,22,36,81911,85,5895,640
Prolog,1972,pl,39,260,2022,14,100,23,51482,446,11137,1127
Node.js,2009,pl,40,177,2022,5,79,18,374143,6864,0,-1
HTTP,1989,protocol,41,97,2022,2,12,2,33780,771996,0,6702
Objective-C,1984,pl,42,214,2022,25,15,0,12380,4276,167113,910
Clojure,2007,pl,43,267,2022,14,60,7,44933,469,25889,610
Scheme,1970,pl,44,181,2022,10,24,23,3796,1174,7221,705
Assembly language,1960,assembly,45,83,2022,2,0,0,26543,1329,47629,2352
Erlang,1986,pl,46,265,2022,16,29,37,27148,308,14920,857
Bash,1989,pl,47,183,2022,14,33,1,61747,4774,640005,1271
JQuery,2006,library,48,51,2022,1,2,0,1553841,24780,0,886
Mathematica,1988,pl,49,190,2022,5,72,21,148741,1553,2662,228
ISBN,1970,schema,50,42,2022,1,3,18,49430,53,0,9882
Elixir,2011,pl,51,281,2022,36,31,3,55882,214,6816,413
CUDA,2007,pl,52,247,2018,6,35,29,38623,769,4379,1966
Dart,2011,pl,53,271,2022,12,30,6,38325,208,5727,389
Emacs,1976,editor,54,20,2022,0,0,0,64338,0,0,605
Modula-2,1978,pl,55,432,2022,6,1,0,655,0,115,87
MongoDB,2009,application,56,53,2022,2,2,0,318335,3787,0,1760
Visual Basic,1991,pl,57,102,2022,6,0,0,15898,3294,10510,1574
Tcl,1988,pl,58,235,2022,7,26,2,3106,0,8111,567
ActionScript,1998,pl,59,241,2022,6,108,2,1630,88,8748,282
VBA,1993,pl,60,326,2022,1,270,5,3650,511,200,726
Vim,1991,editor,61,34,2022,1,0,0,152267,0,0,696
Ruby on Rails,2005,framework,62,38,2022,1,1,0,197225,6343,0,1044
WordPress,2003,application,63,35,2022,0,3,0,1350482,14952,0,2967
BASIC,1964,pl,64,171,2022,8,57,13,7025,0,66,1401
Verilog,1984,hardwareDescriptionLanguage,65,238,2022,13,34,18,5176,246,2985,497
awk,1977,pl,66,269,2022,10,26,8,4680,7,20601,506
Delphi,1995,pl,67,192,2022,6,88,3,7084,181,240,765
Solidity,2014,contractLanguage,68,174,2022,7,22,13,31940,937,78,405
ASCII,1963,characterEncoding,69,21,2001,1,0,0,20715,0,0,4139
AWS,2006,cloud,70,29,2018,0,2,0,263168,2512,0,2390
F#,2005,pl,71,207,2022,18,0,0,4316,0,5877,619
Regular Expressions,1951,queryLanguage,72,45,2022,2,0,0,23343,0,0,3569
OCaml,1996,pl,73,181,2022,9,11,14,3341,0,5622,424
ASP,1996,template,74,156,2022,3,72,7,1865,9630,32849,329
Eiffel,1986,pl,75,202,2023,11,10,12,1583,0,721,240
Crystal,2014,pl,76,237,2022,10,0,0,27065,0,1197,143
Smalltalk,1972,pl,77,145,2022,6,32,16,5400,0,5607,826
Yacc,1975,grammarLanguage,78,183,2018,4,4,1,3087,17,13674,229
Git,2005,application,79,43,2022,1,0,0,714200,7032,0,2205
Modula-3,1986,pl,80,304,2018,5,0,0,641,0,19,84
Elm,2012,pl,81,231,2022,10,5,2,11377,127,2864,268
Racket,1994,pl,82,169,2022,13,4,10,7353,48,3760,286
Groovy,2003,pl,83,174,2022,9,22,7,6056,0,27223,577
Unix,1969,os,84,7,1969,0,0,0,12105,0,0,2417
D,2001,pl,85,173,2022,14,2,4,6311,0,7198,1008
Common Lisp,1984,pl,86,135,2022,7,6,0,1891,24,5678,334
Reason,2016,pl,87,607,2022,14,1,3,11216,0,24,0
UML,1996,xmlFormat,88,213,2001,1,112,38,11035,0,0,2203
Sage,2005,pl,89,213,2022,5,2,2,1116,0,84,179
Maple,1982,pl,90,95,2022,3,28,15,53310,511,0,231
Unicode,1987,characterEncoding,91,19,2017,0,2,0,13380,0,0,2672
CoffeeScript,2009,pl,92,154,2022,10,17,0,23320,216,68631,295
VHDL,1983,hardwareDescriptionLanguage,93,252,2022,12,50,39,6245,0,2099,731
APL,1964,pl,94,146,2022,8,13,28,3670,0,95,680
OpenCL,2009,pl,95,189,2018,5,25,46,3731,266,0,702
MediaWiki,2002,wikiMarkup,96,177,2022,4,2,0,7133,69,0,610
Microsoft Azure,2010,cloud,97,28,2018,0,1,0,154044,1448,0,1843
YAML,2001,dataNotation,98,95,2018,5,0,1,13981,61,13,1529
DOI,2000,schema,99,23,2022,1,0,0,21001,0,0,4196
REST,1996,protocol,100,38,2022,0,5,8,24190,26215,0,4834
UTF-8,1993,characterEncoding,101,16,2009,0,0,0,13435,0,0,2683
Microsoft Excel,1987,application,102,38,2001,1,0,0,19906,0,0,3977
XQuery,2007,pl,103,179,2022,6,2,15,1351,125,1175,216
PostScript,1982,textMarkup,104,149,2011,10,13,1,2585,0,4145,473
Nginx,2004,configFormat,105,337,2022,4,6,0,4245,2884,8529,795
GraphQL,2012,queryLanguage,106,187,2022,8,11,7,18676,0,0,195
SPSS,1968,pl,107,73,2022,4,14,5,965674,9587,0,1898
PowerPC,1992,isa,108,36,2018,0,10,2,9126,59,0,646
Eclipse,2001,editor,109,17,2003,0,0,0,9480,0,0,1892
TLS,1999,protocol,110,23,2001,0,1,2,24595,0,0,4915
FTP,1971,protocol,111,24,2022,0,0,0,13916,0,0,2685
Visual Studio,1997,editor,112,15,2017,0,0,0,10800,0,0,2156
SOAP,1998,xmlFormat,113,60,2022,1,11,8,10535,7493,0,2103
Matplotlib,2003,library,114,55,2022,1,6,0,36109,0,0,218
Vue,2014,framework,115,120,2022,3,0,0,298982,0,8639,852
Literate CoffeeScript,2013,pl,116,160,2022,1,0,0,22535,0,0,0
Rexx,1979,pl,117,167,2022,7,19,4,435,40,71,43
X86,1978,isa,118,47,2001,0,22,5,7400,0,0,1476
TCP,1974,protocol,119,31,2009,0,6,2,16700,0,0,3336
Nim,2008,pl,120,161,2022,14,3,0,19118,0,472,176
ANTLR,1992,grammarLanguage,121,143,2022,5,1,1,3048,30,2866,103
SciPy,2001,library,122,37,2022,0,8,0,23940,0,0,237
Scratch,2002,visual,123,138,2022,0,51,45,16942,0,0,1368
Pug,2010,template,124,137,2022,11,2,0,26938,0,575,0
LFE,2008,pl,125,210,2022,4,0,0,405,0,15,37
Smali,2010,assembly,126,229,2022,6,0,1,8729,0,212,0
LaTeX,1985,textMarkup,127,96,2022,4,8,5,7721,0,0,1540
Markdown,2004,textMarkup,128,109,2022,4,5,2,12503,0,8,1954
Visual Basic .NET,2001,pl,129,111,2022,5,0,0,5691,3447,322,894
Liquid,2008,template,130,141,2022,1,2,15,13569,325,1018,0
Forth,1970,pl,131,126,2022,9,7,16,3230,0,1910,392
SMTP,1982,protocol,132,32,2001,1,1,1,13330,0,0,2662
PureBasic,1998,pl,133,219,2022,5,2,0,426,0,647,41
ML,1973,pl,134,112,2022,1,33,30,2725,6,0,541
Solaris,1992,os,135,6,1992,0,0,0,6095,0,0,1015
Haxe,2005,pl,136,134,2022,7,5,0,8831,1,3304,150
VBScript,1996,pl,137,126,2022,6,40,0,3347,142,339,472
WebAssembly,2015,bytecode,138,174,2022,4,13,25,8291,5,160,392
CIL,2000,pl,139,129,2022,7,4,4,1080,0,0,212
Chapel,2004,pl,140,140,2022,10,2,19,16150,1,55,63
Oberon,1986,pl,141,139,2022,6,0,21,810,0,0,100
PDF,1993,binaryDataFormat,142,76,2018,1,0,0,10480,0,0,2092
LabVIEW G,1986,pl,143,61,2022,0,0,0,8125,2012,357,556
Applescript,1993,pl,144,148,2022,9,15,1,1221,6,4075,200
Oz,1991,pl,145,181,2022,5,0,22,661,0,72,78
Lasso,1995,pl,146,326,2022,5,0,4,396,142,435,35
fish,2005,pl,147,127,2022,6,1,6,24362,1,0,62
LLVM IR,2003,ir,148,100,2018,6,0,0,5812,23,1345,693
ECMAScript,1997,pl,149,42,2022,1,9,3,6570,0,0,1310
Red,2011,pl,150,223,2022,7,0,0,6608,0,98,64
Simula,1965,pl,151,123,2002,5,5,14,1110,0,0,218
Protocol Buffers,2008,idl,152,131,2022,10,0,0,2416,94,11692,439
Idris,2014,pl,153,170,2022,11,1,8,6168,1,301,123
Logo,1967,pl,154,110,2022,3,40,20,2895,0,0,575
SQLite,2000,queryLanguage,155,64,2022,1,11,0,5610,561,0,569
UDP,1980,protocol,156,29,2022,0,1,5,8860,35,0,1768
AMPL,1985,pl,157,180,2022,7,8,2,766,3,852,109
OpenGL,1992,library,158,33,2022,0,10,0,5291,0,0,1054
sed,1974,pl,159,179,2018,4,6,0,1865,0,1075,329
PicoLisp,1988,pl,160,221,2022,2,0,0,316,0,99,19
Visual Studio Code,2015,editor,161,15,2015,0,0,0,8525,0,0,1501
Drupal,2000,application,162,27,2022,0,1,0,168605,1642,0,882
FreeBSD,1993,os,163,8,1993,0,0,0,4445,0,0,885
Tex,1978,pl,164,104,2022,6,3,1,4276,3,31515,611
V,2019,pl,165,106,2022,6,0,0,36606,0,45,0
BCPL,1966,pl,166,107,2001,6,4,5,1050,0,0,206
PL/SQL,1991,pl,167,107,2017,7,5,0,2355,2972,6767,427
JVM,1994,vm,168,16,2006,0,0,0,4610,0,0,918
Standard ML,1990,pl,169,104,2017,4,0,0,1726,0,2390,301
Dylan,1992,pl,170,123,2022,7,1,1,636,0,112,73
REBOL,1997,pl,171,115,2022,10,3,0,326,0,1647,21
Apache Maven,2004,application,172,258,2014,2,0,0,3316,0,0,619
Unity,2005,library,173,24,2022,0,0,0,9036,0,0,1803
Processing,2001,pl,174,237,2022,7,42,31,2366,0,6773,429
Hack,2014,pl,175,142,2022,9,27,3,1436,19,3242,243
MIPS architecture,1985,isa,176,64,2022,5,0,0,5145,12,0,1025
Algol,1958,pl,177,88,2001,2,31,17,1635,0,0,323
OWL,2004,xmlFormat,178,124,2018,2,8,20,2435,0,642,443
URL,1994,schema,179,22,2001,1,0,0,17850,0,0,3566
Org,2003,textMarkup,180,227,2022,4,0,0,656,0,1,127
PureScript,2013,pl,181,127,2022,8,0,0,10706,0,826,0
Brainfuck,1993,esolang,182,128,2017,5,0,0,6460,0,832,1238
SVG,2001,textMarkup,183,106,2022,4,21,4,6405,0,0,1237
Monaco Editor,2016,editor,184,21,2022,0,0,0,38687,0,0,0
FAT,1977,filesystem,185,19,2001,0,0,0,7860,0,0,1568
DOT,2007,textMarkup,186,130,2015,6,0,4,1780,0,68,312
FLUX,2014,pl,187,102,2022,3,7,11,28134,0,853,0
Fantom,2005,pl,188,136,2022,7,0,0,521,0,38,60
Squirrel,2003,pl,189,180,2022,7,0,0,1688,0,433,65
EuLisp,1985,pl,190,107,2006,3,0,0,90,0,0,14
Monkey,2011,pl,191,147,2016,10,3,0,292,0,116,14
FLEX,1987,grammarLanguage,192,187,2022,2,78,4,4402,0,0,80
AUTOCAD,1982,application,193,15,2001,0,0,0,8365,0,0,1669
Limbo,1995,pl,194,133,2003,5,3,1,386,0,367,73
Agda,2007,pl,195,144,2014,9,7,14,731,0,207,102
BlitzBasic,2000,pl,196,176,2016,2,0,0,475,0,492,51
ABAP,1983,pl,197,385,2022,6,55,2,2416,283,450,439
MUMPS,1966,pl,198,102,2022,8,10,3,1345,0,4908,255
Occam,1983,pl,199,107,2001,4,17,24,325,0,0,61
GAME,1977,pl,200,118,2001,0,99,0,8550,0,0,1706
HAML,2006,template,201,130,2022,6,2,0,6324,0,465,45
Emacs Lisp,1985,pl,202,92,2018,6,0,0,1645,0,16754,85
RDF,1997,dataNotation,203,64,2001,1,6,17,4096,0,0,815
ColdFusion,1995,pl,204,163,2022,5,36,0,1646,0,2061,85
Jinja,2006,template,205,105,2022,2,0,0,13821,0,981,106
Coq,1989,pl,206,126,2022,1,3,27,3611,0,1013,265
AutoIt,1999,pl,207,123,2022,8,5,0,1011,0,650,158
Qt,1995,framework,208,36,2022,0,5,0,4171,0,0,790
x86 Assembly,1972,assembly,209,129,2017,5,0,0,2350,0,0,426
Makefile,1976,pl,210,116,2002,7,0,0,1861,0,250693,328
Vala,2006,pl,211,98,2017,7,3,0,1171,0,2046,190
J,1990,pl,212,107,2022,9,1,0,3779,0,151,561
Nearley,2014,grammarLanguage,213,157,2022,3,0,0,4099,0,33,0
NewLisp,1991,pl,214,126,2022,2,0,0,453,0,812,18
Nemerle,2003,pl,215,138,2022,8,0,0,406,0,286,37
Zig,2015,pl,216,87,2022,4,0,0,23492,0,21,0
MIME,1991,textDataFormat,217,62,2022,2,1,1,4380,1,0,872
XAML,2008,xmlFormat,218,60,2022,1,23,1,202885,0,0,159
Jison,2009,pl,219,127,2022,3,0,0,5688,0,0,0
MoonScript,2011,pl,220,172,2022,6,0,0,3585,0,359,0
Icon,1977,pl,221,122,2001,10,3,19,271,0,0,50
Terra,2012,pl,222,181,2022,6,0,4,3195,0,206,0
TOML,2013,dataNotation,223,87,2022,7,0,0,19852,0,0,0
Scikit-learn,2007,library,224,27,2022,0,0,0,121955,0,0,360
X10,2004,pl,225,171,2022,6,1,39,376,0,19,31
Ballerina,2015,pl,226,109,2022,7,2,1,6576,0,22,37
Scilab,1990,pl,227,103,2012,8,15,10,1290,0,13048,214
Flow,2014,pl,228,80,2022,3,14,25,27307,0,0,0
Io,2002,pl,229,93,2022,6,2,2,461,0,624,48
Turing,1982,pl,230,163,2017,7,34,12,525,0,167,61
idyll,2017,pl,231,367,2022,3,0,0,2170,0,0,0
RPG,1959,pl,232,102,2004,3,39,3,1145,0,0,225
Mercury,1995,pl,233,128,2022,6,0,16,939,0,646,74
Reverse Polish notation,1953,notation,234,28,2002,1,0,0,4200,0,0,836
QML,2009,pl,235,232,2014,9,0,0,1131,0,5249,182
IDL,1977,pl,236,106,2017,4,9,10,1281,0,5298,202
Frege,2011,pl,237,133,2022,5,0,0,4361,0,160,31
xBase,1986,pl,238,101,2017,6,8,0,425,0,350,41
GNU Octave,1988,pl,239,79,2022,8,1,0,2406,0,0,467
Boo,2003,pl,240,100,2022,11,0,0,861,0,241,128
JSP,1999,template,241,71,2018,1,28,1,2965,0,0,549
PostCSS,2013,textMarkup,242,73,2022,5,0,0,31123,0,0,0
TensorFlow,2015,library,243,40,2022,0,1,0,435167,721,0,1652
Object Pascal,1986,pl,244,74,2004,5,0,0,765,0,0,149
Slim,2011,template,245,103,2022,3,1,2,6818,0,206,0
MicroPython,2014,pl,246,71,2022,0,30,1,34179,0,0,132
Hy,2013,pl,247,112,2022,12,0,0,5559,0,180,1
highlight.js,2006,library,248,23,2022,0,0,0,30285,0,0,0
ALGOL 60,1960,pl,249,68,2004,4,5,0,1260,0,0,248
Arc,2001,pl,250,88,2003,4,0,8,431,0,467,82
Zephir,2013,pl,251,116,2022,7,0,0,4740,0,140,0
SPARQL,2008,queryLanguage,252,115,2015,8,4,18,2165,0,0,379
Ceylon,2011,pl,253,137,2022,13,0,0,1161,0,167,72
Redis,2009,application,254,49,2022,2,0,0,182783,591,0,707
LOLCODE,2007,esolang,255,136,2022,5,0,0,1486,0,109,293
Opa,2011,pl,256,101,2022,6,2,0,2104,0,58,53
SPARC,1987,isa,257,26,2002,0,5,0,2175,0,0,431
SuperCollider,1996,pl,258,105,2022,10,5,0,801,0,3713,116
SystemVerilog,2002,pl,259,113,2005,10,9,3,1345,0,1052,225
QBasic,1991,pl,260,75,2001,2,28,0,1910,0,0,378
Clean,1987,pl,261,134,2017,8,9,5,481,0,263,52
Lean,2015,pl,262,152,2022,3,4,10,2898,0,265,0
SNOBOL,1962,pl,263,86,2002,7,11,4,341,0,0,64
Cython,2007,pl,264,88,2022,29,10,1,1571,0,580,270
RFC,1969,notation,265,39,2001,1,1,1,3520,0,0,700
Bison,1985,grammarLanguage,266,87,2011,5,2,1,846,0,3641,125
XPath,1999,queryLanguage,267,32,2008,1,4,5,2395,0,0,475
WebGL,2011,library,268,24,2013,0,6,0,2881,0,0,572
Inform,1993,pl,269,161,2022,5,2,5,586,0,60,73
CLIPS,1985,pl,270,385,2022,7,0,3,651,0,991,86
Pony,2012,pl,271,88,2023,5,0,0,7417,0,78,0
reStructuredText,2002,textMarkup,272,107,2018,4,0,0,1025,0,0,161
KiCad Legacy Layout,1992,application,273,159,2018,2,0,0,935,0,1099,143
vi,1976,editor,274,35,2001,1,0,0,2965,0,0,589
RobotFramework,2013,pl,275,78,2022,1,0,0,13218,0,515,0
PL/pgSQL,1998,pl,276,81,2016,1,0,0,490,0,9239,54
Factor,2003,pl,277,105,2022,4,0,2,2251,0,111,44
CMake,2000,application,278,98,2022,5,4,0,1546,0,56490,255
NumPy,1995,library,279,69,2022,1,1,0,2156,0,0,427
Self,1987,pl,280,66,2022,4,1,2,461,0,26,88
Stata,1985,pl,281,121,2022,5,21,5,2816,0,1032,319
Multi-User Forth,1995,pl,282,322,2004,3,0,0,30,0,0,2
Sublime Text,2008,editor,283,20,2022,0,0,0,3691,0,0,534
Nextflow,2013,pl,284,122,2022,3,0,1,3332,0,62,0
JSON5,2012,dataNotation,285,96,2022,11,0,0,5939,0,0,0
SI,1960,notation,286,21,2001,0,0,2,14430,0,0,2882
Pike,1994,pl,287,103,2022,7,1,0,446,0,105,45
grep,1974,pl,288,31,2002,1,0,0,3115,0,0,619
Deno,2018,compiler,289,59,2022,5,2,0,106120,0,0,0
Metal,2014,library,290,135,2018,1,0,0,2595,0,256,475
EDN,2012,dataNotation,291,129,2022,2,3,0,2840,0,0,0
PL/I,1964,pl,292,59,2022,3,0,0,1535,0,0,303
Isabelle,1986,pl,293,135,2018,4,0,4,576,0,137,71
WSDL,2000,xmlFormat,294,83,2002,1,2,3,2375,0,0,471
Gzip,1992,binaryDataFormat,295,20,2016,0,0,0,2796,0,0,555
NetLogo,1999,pl,296,134,2022,3,4,10,2193,0,154,80
D3.js,2011,library,297,57,2022,1,0,0,172549,0,0,275
Magit,2013,application,298,22,2022,1,0,0,59296,0,0,0
API Blueprint,2013,pl,299,68,2022,3,0,0,15183,0,810,0
MiniD,2006,pl,300,109,2007,8,0,0,86,0,0,13
RAML,2013,yamlFormat,301,82,2022,1,1,0,6541,0,472,0
HCL,2014,dataNotation,302,88,2022,6,2,1,5740,0,2995,0
Perl 6,2015,pl,303,69,2018,4,2,0,961,0,2002,148
Extensible Linking Format,1999,binaryExecutable,304,18,2001,0,0,0,3145,0,0,625
Ace Editor,2010,editor,305,19,2022,0,0,0,40169,0,0,0
Click,1999,pl,306,181,2022,3,0,0,1817,0,127,0
New Technology File System,1993,filesystem,307,17,2002,0,0,0,4520,0,0,900
ATS,2013,pl,308,128,2022,7,1,1,576,0,46,71
AutoLISP,1986,pl,309,80,2001,3,20,1,430,0,0,82
S-algol,1979,pl,310,93,2006,5,0,0,65,0,0,9
YANG,2014,application,311,95,2022,1,0,0,4614,0,0,0
IA-32,1985,isa,312,22,2001,0,1,0,1515,0,0,299
Csound,1985,pl,313,106,2022,4,5,2,521,0,65,60
OpenRC runscript,2007,application,314,168,2023,2,0,0,1928,0,0,0
F*,2014,pl,315,76,2022,1,0,1,3398,0,31,53
Ini,1987,dataNotation,316,83,2013,8,0,0,2950,0,1,546
Sass,2006,stylesheetLanguage,317,105,2022,5,7,1,3241,0,466,594
Turtle,2011,dataNotation,318,77,2015,3,0,8,2930,0,0,542
Lex,1975,grammarLanguage,319,123,2002,6,2,0,1110,0,12486,178
Subversion,2000,application,320,27,2002,1,0,0,2476,0,0,491
Gnuplot,1986,pl,321,82,2022,3,3,0,901,0,3204,136
Xojo,1996,pl,322,82,2022,5,0,0,596,0,68,75
npm,2010,packageManager,323,36,2022,0,0,0,29587,0,0,492
AGC,1966,assembly,324,109,2017,4,3,0,3025,0,0,561
Morse code,1837,notation,325,26,2001,3,0,0,29235,0,0,5843
FoxPRO,1992,pl,326,89,2006,2,53,0,1240,0,0,244
FlatBuffers,2014,idl,327,15,2022,0,0,0,26585,0,0,0
ClojureScript,2011,pl,328,64,2022,1,9,0,14223,0,0,0
Ioke,2008,pl,329,87,2022,4,1,0,565,0,41,22
Java Bytecode,1995,bytecode,330,50,2005,3,0,0,1530,0,0,302
S-expressions,1960,dataNotation,331,49,2002,2,0,0,1575,0,0,311
INTERCAL,1972,pl,332,101,2001,4,0,0,720,0,0,140
E,1997,pl,333,101,2022,6,0,0,406,0,304,77
CodeMirror,2007,editor,334,34,2022,0,0,0,3537,0,0,37
Wren,2013,pl,335,71,2022,5,0,0,7070,0,3,0
Alloy,1997,pl,336,169,2022,6,0,13,376,0,90,31
odin,2016,pl,337,99,2022,6,0,2,3571,0,6,0
AXIOM,1992,pl,338,26,2001,0,0,6,4990,0,0,994
LiveScript,2011,pl,339,112,2017,9,0,0,395,0,2273,35
RDoc,2004,textMarkup,340,163,2017,1,0,0,271,0,0,10
CSP,1978,pl,341,58,2003,1,7,21,1425,0,0,281
Modelica,1997,pl,342,99,2022,7,2,14,736,0,542,93
Gradle,2008,application,343,57,2022,1,0,0,25492,0,0,0
Embedded Crystal,2016,template,344,58,2022,4,0,0,22212,0,0,0
Office Open XML,2006,xmlFormat,345,19,2006,0,0,0,2820,0,0,560
Wavefront Object,1988,application,346,103,2017,2,0,0,2980,0,0,552
POV-Ray SDL,1991,pl,347,125,2022,6,0,0,2169,0,493,0
Microsoft BASIC,1975,pl,348,17,2002,0,0,0,1420,0,0,280
Clipper,1985,pl,349,74,2003,6,21,1,516,0,0,99
YARA,2008,pl,350,64,2022,2,0,0,10113,0,46,106
ERB,2004,template,351,108,2018,3,0,0,400,0,0,36
Batchfile,1985,pl,352,87,2022,6,0,0,4005,0,97775,757
Django,2005,library,353,31,2014,1,0,0,4375,0,0,821
MariaDB,2009,queryLanguage,354,34,2009,1,5,0,2710,0,0,538
Whitespace,2003,esolang,355,144,2003,4,1,0,1650,0,0,326
GAMS,1963,pl,356,144,2005,2,4,0,465,0,49,89
DNS,1985,protocol,357,25,1985,0,6,2,15790,0,0,3154
SYMBOL,1971,pl,358,38,2002,0,0,19,6050,0,0,1206
B,1969,pl,359,60,2001,4,0,3,1380,0,0,272
AsciiDoc,2002,textMarkup,360,79,2022,3,0,0,666,0,0,89
Pod,1997,textMarkup,361,90,2004,2,0,0,375,0,0,31
BPMN,2004,visual,362,40,2005,0,2,16,4050,0,0,806
M4,1977,pl,363,105,2004,6,2,0,715,0,15666,99
Datalog,1977,pl,364,78,2004,4,3,36,820,0,0,160
Objective-J,2008,pl,365,139,2014,6,0,0,376,0,340,31
Marko,2014,textMarkup,366,59,2022,1,0,0,13537,0,12,0
Dafny,2009,pl,367,108,2022,5,1,11,2359,0,1,1
chevrotain,2015,library,368,104,2022,1,0,0,2487,0,0,0
C--,1997,pl,369,37,2005,1,0,0,2861,0,0,568
Ninja,2012,template,370,54,2022,0,2,4,12726,0,0,71
Dhall,2017,dataNotation,371,81,2022,4,0,0,4065,0,60,0
Base64,1987,textEncodingFormat,372,15,1987,0,0,1,12030,0,0,2402
Wolfram Language,1988,pl,373,74,2022,8,2,0,1626,0,0,199
Oxygene,2002,pl,374,68,2022,3,2,0,271,0,35,50
Gambas,1999,pl,375,61,2003,2,0,0,485,0,0,93
JSON-LD,2010,dataValidationLanguage,376,81,2022,1,0,0,3731,0,0,307
Q,2003,pl,377,100,2022,5,1,2,765,0,170,99
Microsoft Notepad,1983,editor,378,16,2002,0,0,0,9425,0,0,1881
PEG.js,2010,grammarLanguage,379,68,2022,4,0,0,5723,0,63,0
Google Cloud Platform,2011,cloud,380,22,2014,0,0,0,3346,0,0,665
HyperTalk,1987,pl,381,55,2002,3,10,1,275,0,0,51
SPARK,1988,pl,382,82,2017,1,22,30,1990,0,0,194
halide,2010,pl,383,61,2022,3,0,12,7894,0,0,0
TLA,1999,pl,384,308,2017,5,3,0,1055,0,89,167
Befunge,1993,esolang,385,71,2022,4,0,0,620,0,7,80
GDB,1986,application,386,97,2018,3,4,0,1181,0,2603,192
Puppet,2005,pl,387,75,2018,2,11,2,3200,0,14936,586
Miranda,1985,pl,388,62,2002,4,2,7,300,0,0,56
Speedie,2022,pl,389,361,2023,80,0,0,1,0,0,0
Bicep,2020,jsonFormat,390,72,2022,4,0,0,4290,0,17,0
Bourne shell,1977,pl,391,31,2022,1,2,0,1370,0,0,270
C3,2019,pl,392,269,2023,35,0,0,1035,0,0,0
Visual FoxPro,1995,pl,393,58,2003,1,0,0,1461,0,0,288
Seed7,2005,pl,394,58,2012,4,0,0,206,0,0,37
x86-64,2000,isa,395,18,2018,0,0,0,41291,413,0,1
PowerBuilder,2010,pl,396,121,2010,6,36,0,965,0,17,189
BibTeX,1985,application,397,68,2003,3,0,0,2106,0,0,417
Twig,2009,template,398,90,2022,4,0,0,611,0,811,59
Less,2009,stylesheetLanguage,399,117,2022,8,7,3,1151,0,2585,186
XS,2002,pl,400,114,2018,3,0,0,285,0,1945,13
eC,2004,pl,401,456,2022,8,2,0,900,0,920,22
SGML,1986,textMarkup,402,34,2001,1,5,1,1940,0,0,384
Coconut,2014,pl,403,71,2022,9,0,0,3809,0,0,0
Simulink,1984,pl,404,56,2017,0,19,13,1516,0,0,299
Oberon-2,1991,pl,405,87,2004,4,0,0,165,0,0,29
